Row ID,Order ID,Order Date,Ship Date,Ship Mode,Sales,Quantity,Discount,Profit,Region,State,Product purchased,Category,Sub-Category
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,665.88,6,0.0,13.3176,Central,Wisconsin,"OFF-ST-10004186|Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,55.5,2,0.0,9.99,West,Utah,OFF-ST-10000107|Fellowes Super Stor/Drawer,Office Supplies,Storage
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,8.56,2,0.0,2.4824,West,California,OFF-AR-10003056|Newell 341,Office Supplies,Art
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,213.48,3,0.2,16.011,West,California,TEC-PH-10001949|Cisco SPA 501G IP Phone,Technology,Phones
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,22.72,4,0.2,7.384,West,California,"OFF-BI-10002215|Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders
22,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,19.46,7,0.0,5.0596,Central,Nebraska,OFF-AR-10000246|Newell 318,Office Supplies,Art
23,CA-2016-137330,2016-09-12,2016-12-13,Standard Class,60.34,7,0.0,15.6884,Central,Nebraska,"OFF-AP-10001492|Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,71.372,2,0.3,-1.0196,East,Pennsylvania,"FUR-CH-10002774|Global Deluxe Stacking Chair, Gray",Furniture,Chairs
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,1044.63,3,0.0,240.2649,West,Utah,FUR-TA-10000577|Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,11.648,2,0.2,4.2224,West,California,OFF-BI-10001634|Wilson Jones Active Use Binders,Office Supplies,Binders
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,90.57,3,0.0,11.7741,West,California,TEC-AC-10003027|Imation�8GB Mini TravelDrive USB 2.0�Flash Drive,Technology,Accessories
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,3083.43,7,0.5,-1665.0522,East,Pennsylvania,"FUR-BO-10004834|Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,9.618,2,0.7,-7.0532,East,Pennsylvania,OFF-BI-10000474|Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,124.2,3,0.2,15.525,East,Pennsylvania,"FUR-FU-10004848|Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,3.264,2,0.2,1.1016,East,Pennsylvania,OFF-EN-10001509|Poly String Tie Envelopes,Office Supplies,Envelopes
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,86.304,6,0.2,9.7092,East,Pennsylvania,"OFF-AR-10004042|BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,6.858,6,0.7,-5.715,East,Pennsylvania,"OFF-BI-10001525|Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,Binders
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,15.76,2,0.2,3.546,East,Pennsylvania,OFF-AR-10001683|Lumber Crayons,Office Supplies,Art
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,29.472,3,0.2,9.9468,Central,Texas,OFF-PA-10000249|Easy-staple paper,Office Supplies,Paper
36,CA-2016-117590,2016-08-12,2016-12-10,First Class,1097.544,7,0.2,123.4737,Central,Texas,TEC-PH-10004977|GE 30524EE4,Technology,Phones
37,CA-2016-117590,2016-08-12,2016-12-10,First Class,190.92,5,0.6,-147.963,Central,Texas,"FUR-FU-10003664|Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Furnishings
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,113.328,9,0.2,35.415,Central,Texas,"OFF-EN-10002986|#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Envelopes
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,532.3992,3,0.32,-46.9764,Central,Texas,"FUR-BO-10002545|Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,212.058,3,0.3,-15.147,Central,Texas,"FUR-CH-10004218|Global Fabric Manager's Chair, Dark Gray",Furniture,Chairs
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,371.168,4,0.2,41.7564,Central,Texas,TEC-PH-10000486|Plantronics HL10 Handset Lifter,Technology,Phones
42,CA-2017-120999,2017-10-09,2017-09-15,Standard Class,147.168,4,0.2,16.5564,Central,Illinois,TEC-PH-10004093|Panasonic Kx-TS550,Technology,Phones
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,77.88,2,0.0,3.894,West,California,"OFF-ST-10003479|Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,95.616,2,0.2,9.5616,South,Florida,"OFF-ST-10003282|Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,Storage
45,CA-2016-118255,2016-11-03,2016-03-13,First Class,45.98,2,0.0,19.7714,Central,Minnesota,"TEC-AC-10000171|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Accessories
46,CA-2016-118255,2016-11-03,2016-03-13,First Class,17.46,2,0.0,8.2062,Central,Minnesota,OFF-BI-10003291|Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Binders
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,211.96,4,0.0,8.4784,Central,Michigan,"OFF-ST-10001713|Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,45.0,3,0.0,4.95,East,Delaware,TEC-AC-10002167|Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,Technology,Accessories
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,21.8,2,0.0,6.104,East,Delaware,"TEC-PH-10003988|LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,Phones
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,38.22,6,0.0,17.9634,Central,Indiana,"OFF-BI-10004410|C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Binders
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,75.18,6,0.0,35.3346,Central,Indiana,OFF-LA-10002762|Avery 485,Office Supplies,Labels
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,6.16,2,0.0,2.9568,Central,Indiana,FUR-FU-10001706|Longer-Life Soft White Bulbs,Furniture,Furnishings
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,89.99,1,0.0,17.0981,Central,Indiana,"FUR-CH-10003061|Global Leather Task Chair, Black",Furniture,Chairs
54,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,15.26,7,0.0,6.2566,East,New York,OFF-FA-10000304|Advantus Push Pins,Office Supplies,Fasteners
55,CA-2016-105816,2016-11-12,2016-12-17,Standard Class,1029.95,5,0.0,298.6855,East,New York,TEC-PH-10002447|AT&T CL83451 4-Handset Telephone,Technology,Phones
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,208.56,6,0.0,52.14,East,New York,OFF-ST-10000604|Home/Office Personal File Carts,Office Supplies,Storage
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,32.4,5,0.0,15.552,East,New York,OFF-PA-10001569|Xerox 232,Office Supplies,Paper
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,319.41,5,0.1,7.098,East,New York,FUR-CH-10003968|Novimex Turbo Task Chair,Furniture,Chairs
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,14.56,2,0.0,6.9888,East,New York,"OFF-PA-10000587|Array Parchment Paper, Assorted Colors",Office Supplies,Paper
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,30.0,2,0.0,3.3,East,New York,TEC-AC-10002167|Imation�8gb Micro Traveldrive Usb 2.0�Flash Drive,Technology,Accessories
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,48.48,4,0.2,16.362,East,New York,OFF-BI-10001460|Plastic Binding Combs,Office Supplies,Binders
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,1.68,1,0.0,0.84,East,New York,OFF-AR-10001868|Prang Dustless Chalk Sticks,Office Supplies,Art
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,13.98,2,0.0,6.1512,West,California,"TEC-AC-10004633|Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,Accessories
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,25.824,6,0.2,9.3612,West,California,"OFF-BI-10001078|Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,Binders
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,146.73,3,0.0,68.9631,West,California,OFF-PA-10003892|Xerox 1943,Office Supplies,Paper
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,79.76,4,0.0,22.3328,West,California,FUR-FU-10000397|Luxo Economy Swing Arm Lamp,Furniture,Furnishings
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,213.115,5,0.3,-15.2225,Central,Illinois,"FUR-CH-10001146|Global Value Mid-Back Manager's Chair, Gray",Furniture,Chairs
68,CA-2014-106376,2014-05-12,2014-12-10,Standard Class,1113.024,8,0.2,111.3024,West,Arizona,"OFF-AR-10002671|Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,Art
69,CA-2014-106376,2014-05-12,2014-12-10,Standard Class,167.968,4,0.2,62.988,West,Arizona,TEC-PH-10002726|netTALK DUO VoIP Telephone Service,Technology,Phones
70,CA-2016-119823,2016-04-06,2016-06-06,First Class,75.88,2,0.0,35.6636,South,Virginia,"OFF-PA-10000482|Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper
71,CA-2016-106075,2016-09-18,2016-09-23,Standard Class,4.616,1,0.2,1.731,East,New York,OFF-BI-10004654|Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,Binders
72,CA-2017-114440,2017-09-14,2017-09-17,Second Class,19.05,3,0.0,8.763,Central,Michigan,"OFF-PA-10004675|Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper
73,US-2015-134026,2015-04-26,2015-05-02,Standard Class,831.936,8,0.2,-114.3912,South,Tennessee,FUR-CH-10000513|High-Back Leather Manager's Chair,Furniture,Chairs
74,US-2015-134026,2015-04-26,2015-05-02,Standard Class,97.04,2,0.2,1.213,South,Tennessee,"FUR-FU-10003708|Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,Furnishings
75,US-2015-134026,2015-04-26,2015-05-02,Standard Class,72.784,1,0.2,-18.196,South,Tennessee,OFF-ST-10004123|Safco Industrial Wire Shelving System,Office Supplies,Storage
76,US-2017-118038,2017-09-12,2017-12-11,First Class,1.248,3,0.8,-1.9344,Central,Texas,OFF-BI-10004182|Economy Binders,Office Supplies,Binders
77,US-2017-118038,2017-09-12,2017-12-11,First Class,9.708,3,0.6,-5.8248,Central,Texas,"FUR-FU-10000260|6"" Cubicle Wall Clock, Black",Furniture,Furnishings
78,US-2017-118038,2017-09-12,2017-12-11,First Class,27.24,3,0.2,2.724,Central,Texas,"OFF-ST-10000615|SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Storage
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,19.3,5,0.6,-14.475,Central,Texas,"FUR-FU-10003194|Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings
80,CA-2016-127208,2016-12-06,2016-06-15,First Class,208.16,1,0.0,56.2032,South,Alabama,"OFF-AP-10002118|1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,Appliances
81,CA-2016-127208,2016-12-06,2016-06-15,First Class,16.74,3,0.0,8.0352,South,Alabama,OFF-BI-10002309|Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,Binders
82,CA-2014-139451,2014-12-10,2014-10-16,Standard Class,14.9,5,0.0,4.172,West,California,"OFF-AR-10002053|Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,Art
83,CA-2014-139451,2014-12-10,2014-10-16,Standard Class,21.39,1,0.0,6.2031,West,California,"OFF-ST-10002370|Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage
84,CA-2015-149734,2015-03-09,2015-09-08,Standard Class,200.984,7,0.2,62.8075,South,North Carolina,OFF-EN-10000927|Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes
85,US-2017-119662,2017-11-13,2017-11-16,First Class,230.376,3,0.2,-48.9549,Central,Illinois,OFF-ST-10003656|Safco Industrial Wire Shelving,Office Supplies,Storage
86,CA-2017-140088,2017-05-28,2017-05-30,Second Class,301.96,2,0.0,33.2156,South,South Carolina,FUR-CH-10000863|Novimex Swivel Fabric Task Chair,Furniture,Chairs
87,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,19.99,1,0.0,6.7966,Central,Minnesota,TEC-AC-10001998|Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Accessories
88,CA-2017-155558,2017-10-26,2017-11-02,Standard Class,6.16,2,0.0,2.9568,Central,Minnesota,OFF-LA-10000134|Avery 511,Office Supplies,Labels
89,CA-2016-159695,2016-05-04,2016-04-10,Second Class,158.368,7,0.2,13.8572,Central,Texas,OFF-ST-10003442|Eldon Portable Mobile Manager,Office Supplies,Storage
90,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,20.1,3,0.0,6.633,West,California,OFF-AR-10004930|Turquoise Lead Holder with Pocket Clip,Office Supplies,Art
91,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,73.584,2,0.2,8.2782,West,California,TEC-PH-10004093|Panasonic Kx-TS550,Technology,Phones
92,CA-2016-109806,2016-09-17,2016-09-22,Standard Class,6.48,1,0.0,3.1104,West,California,OFF-PA-10000304|Xerox 1995,Office Supplies,Paper
93,CA-2015-149587,2015-01-31,2015-02-05,Second Class,12.96,2,0.0,6.2208,Central,Minnesota,OFF-PA-10003177|Xerox 1999,Office Supplies,Paper
94,CA-2015-149587,2015-01-31,2015-02-05,Second Class,53.34,3,0.0,16.5354,Central,Minnesota,"FUR-FU-10003799|Seth Thomas 13 1/2"" Wall Clock",Furniture,Furnishings
95,CA-2015-149587,2015-01-31,2015-02-05,Second Class,32.96,2,0.0,16.1504,Central,Minnesota,OFF-BI-10002852|Ibico Standard Transparent Covers,Office Supplies,Binders
96,US-2017-109484,2017-06-11,2017-11-12,Standard Class,5.682,1,0.7,-3.788,West,Oregon,OFF-BI-10004738|Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,Binders
97,CA-2017-161018,2017-09-11,2017-11-11,Second Class,96.53,7,0.0,40.5426,East,New York,FUR-FU-10000629|9-3/4 Diameter Round Wall Clock,Furniture,Furnishings
98,CA-2017-157833,2017-06-17,2017-06-20,First Class,51.312,3,0.2,17.9592,West,California,OFF-BI-10001721|Trimflex Flexible Post Binders,Office Supplies,Binders
99,CA-2016-149223,2016-06-09,2016-09-11,Standard Class,77.88,6,0.0,22.5852,Central,Minnesota,OFF-AP-10000358|Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Appliances
100,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,64.624,7,0.2,22.6184,Central,Illinois,OFF-PA-10003256|Avery Personal Creations Heavyweight Cards,Office Supplies,Paper
101,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,95.976,3,0.2,-10.7973,Central,Illinois,TEC-AC-10001767|SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories
102,CA-2016-158568,2016-08-29,2016-09-02,Standard Class,1.788,3,0.8,-3.0396,Central,Illinois,OFF-BI-10002609|Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Binders
103,CA-2016-129903,2016-01-12,2016-12-04,Second Class,23.92,4,0.0,11.7208,Central,Minnesota,OFF-PA-10004040|Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Paper
104,US-2015-156867,2015-11-13,2015-11-17,Standard Class,238.896,6,0.2,-26.8758,West,Colorado,TEC-AC-10001552|Logitech K350 2.4Ghz Wireless Keyboard,Technology,Accessories
105,US-2015-156867,2015-11-13,2015-11-17,Standard Class,102.36,3,0.2,-3.8385,West,Colorado,"FUR-FU-10004006|Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings
106,US-2015-156867,2015-11-13,2015-11-17,Standard Class,36.882,3,0.7,-25.8174,West,Colorado,"OFF-BI-10002794|Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders
107,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,74.112,8,0.2,17.6016,South,North Carolina,TEC-AC-10003499|Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,Accessories
108,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,27.992,1,0.2,2.0994,South,North Carolina,TEC-PH-10002844|Speck Products Candyshell Flip Case,Technology,Phones
109,CA-2017-119004,2017-11-23,2017-11-28,Standard Class,3.304,1,0.2,1.0738,South,North Carolina,OFF-AR-10000390|Newell Chalk Holder,Office Supplies,Art
110,CA-2015-129476,2015-10-15,2015-10-20,Standard Class,339.96,5,0.2,67.992,Central,Illinois,TEC-AC-10000844|Logitech�Gaming G510s - Keyboard,Technology,Accessories
111,CA-2017-146780,2017-12-25,2017-12-30,Standard Class,41.96,2,0.0,10.9096,East,New York,FUR-FU-10001934|Magnifier Swing Arm Lamp,Furniture,Furnishings
112,CA-2016-128867,2016-03-11,2016-11-10,Standard Class,75.96,2,0.0,22.788,Central,Iowa,"OFF-AR-10000380|Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Art
113,CA-2016-128867,2016-03-11,2016-11-10,Standard Class,27.24,6,0.0,13.3476,Central,Iowa,"OFF-BI-10003981|Avery Durable Plastic 1"" Binders",Office Supplies,Binders
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,40.096,14,0.2,14.5348,East,Ohio,"OFF-FA-10000621|OIC Colored Binder Clips, Assorted Sizes",Office Supplies,Fasteners
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class,4.72,2,0.2,1.652,East,Ohio,"OFF-EN-10002600|Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,Envelopes
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class,23.976,3,0.2,7.4925,East,Ohio,OFF-PA-10004965|Xerox 1921,Office Supplies,Paper
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,130.464,6,0.2,44.0316,East,Ohio,"OFF-EN-10002504|Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes
118,CA-2015-110457,2015-02-03,2015-03-06,Standard Class,787.53,3,0.0,165.3813,West,Washington,FUR-TA-10001768|Hon Racetrack Conference Tables,Furniture,Tables
119,US-2015-136476,2015-05-04,2015-04-10,Standard Class,157.794,1,0.7,-115.7156,South,Tennessee,OFF-BI-10003650|GBC DocuBind 300 Electric Binding Machine,Office Supplies,Binders
120,CA-2016-103730,2016-12-06,2016-06-15,First Class,47.04,3,0.0,18.3456,East,Delaware,FUR-FU-10002157|Artistic Insta-Plaque,Furniture,Furnishings
121,CA-2016-103730,2016-12-06,2016-06-15,First Class,30.84,4,0.0,13.878,East,Delaware,OFF-BI-10003910|DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
122,CA-2016-103730,2016-12-06,2016-06-15,First Class,226.56,6,0.0,63.4368,East,Delaware,"OFF-ST-10000777|Companion Letter/Legal File, Black",Office Supplies,Storage
123,CA-2016-103730,2016-12-06,2016-06-15,First Class,115.02,9,0.0,51.759,East,Delaware,OFF-EN-10002500|Globe Weis Peel & Seel First Class Envelopes,Office Supplies,Envelopes
124,CA-2016-103730,2016-12-06,2016-06-15,First Class,68.04,7,0.0,19.7316,East,Delaware,TEC-PH-10003875|KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,Phones
125,US-2014-152030,2014-12-26,2014-12-28,Second Class,600.558,3,0.3,-8.5794,Central,Texas,FUR-CH-10004063|Global Deluxe High-Back Manager's Chair,Furniture,Chairs
126,US-2014-134614,2014-09-20,2014-09-25,Standard Class,617.7,6,0.5,-407.682,Central,Illinois,FUR-TA-10004534|Bevis 44 x 96 Conference Tables,Furniture,Tables
127,US-2017-107272,2017-05-11,2017-11-12,Standard Class,2.388,2,0.7,-1.8308,West,Arizona,"OFF-BI-10003274|Avery Durable Slant Ring Binders, No Labels",Office Supplies,Binders
128,US-2017-107272,2017-05-11,2017-11-12,Standard Class,243.992,7,0.2,30.499,West,Arizona,"OFF-ST-10002974|Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,Storage
129,US-2016-125969,2016-06-11,2016-11-10,Second Class,81.424,2,0.2,-9.1602,West,California,"FUR-CH-10001146|Global Task Chair, Black",Furniture,Chairs
130,US-2016-125969,2016-06-11,2016-11-10,Second Class,238.56,3,0.0,26.2416,West,California,FUR-FU-10003773|Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,Furnishings
131,US-2017-164147,2017-02-02,2017-02-05,First Class,59.97,5,0.4,-11.994,East,Ohio,TEC-PH-10002293|Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,Phones
132,US-2017-164147,2017-02-02,2017-02-05,First Class,78.304,2,0.2,29.364,East,Ohio,OFF-PA-10002377|Xerox 1916,Office Supplies,Paper
133,US-2017-164147,2017-02-02,2017-02-05,First Class,21.456,9,0.2,6.9732,East,Ohio,OFF-FA-10002780|Staples,Office Supplies,Fasteners
134,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,20.04,3,0.0,9.6192,West,California,OFF-PA-10001804|Xerox 195,Office Supplies,Paper
135,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,35.44,1,0.0,16.6568,West,California,OFF-PA-10001736|Xerox 1880,Office Supplies,Paper
136,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,11.52,4,0.0,3.456,West,California,"OFF-AR-10001149|Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Art
137,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,4.02,2,0.0,1.9698,West,California,OFF-FA-10002988|Ideal Clamps,Office Supplies,Fasteners
138,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,76.176,3,0.2,26.6616,West,California,OFF-BI-10004781|GBC Wire Binding Strips,Office Supplies,Binders
139,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,65.88,6,0.0,18.4464,West,California,OFF-SU-10001218|Fiskars Softgrip Scissors,Office Supplies,Supplies
140,CA-2016-145583,2016-10-13,2016-10-19,Standard Class,43.12,14,0.0,20.6976,West,California,FUR-FU-10001706|Longer-Life Soft White Bulbs,Furniture,Furnishings
141,CA-2016-110366,2016-05-09,2016-09-07,Second Class,82.8,2,0.2,10.35,East,Pennsylvania,"FUR-FU-10004848|Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings
142,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,8.82,3,0.0,2.3814,West,California,OFF-AR-10000940|Newell 343,Office Supplies,Art
143,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,10.86,3,0.0,5.1042,West,California,OFF-EN-10004030|Convenience Packs of Business Envelopes,Office Supplies,Envelopes
144,CA-2017-106180,2017-09-18,2017-09-23,Standard Class,143.7,3,0.0,68.976,West,California,OFF-PA-10004327|Xerox 1911,Office Supplies,Paper
